kind,name,detail,position,data_type,is_nullable,column_default
column,accounts,id,1,uuid,NO,gen_random_uuid()
column,accounts,tenant_id,2,uuid,NO,null
column,accounts,account_number,3,integer,NO,null
column,accounts,account_name,4,text,NO,null
column,accounts,account_type,5,text,NO,null
column,accounts,account_subtype,6,text,NO,''::text
column,accounts,normal_balance,7,text,NO,null
column,accounts,description,8,text,NO,''::text
column,accounts,is_active,9,boolean,NO,true
column,accounts,parent_account_number,10,integer,YES,null
column,accounts,created_at,11,timestamp with time zone,NO,now()
column,ai_conversations,id,1,uuid,NO,gen_random_uuid()
column,ai_conversations,tenant_id,2,uuid,NO,null
column,ai_conversations,job_id,3,uuid,YES,null
column,ai_conversations,project_id,4,uuid,YES,null
column,ai_conversations,user_id,5,uuid,YES,null
column,ai_conversations,context_type,6,text,NO,null
column,ai_conversations,messages,7,jsonb,NO,'[]'::jsonb
column,ai_conversations,model,8,text,NO,'claude-sonnet-4-5'::text
column,ai_conversations,input_tokens,9,integer,YES,null
column,ai_conversations,output_tokens,10,integer,YES,null
column,ai_conversations,created_at,11,timestamp with time zone,NO,now()
column,ai_conversations,updated_at,12,timestamp with time zone,NO,now()
column,ai_generated_content,id,1,uuid,NO,gen_random_uuid()
column,ai_generated_content,tenant_id,2,uuid,NO,null
column,ai_generated_content,job_id,3,uuid,YES,null
column,ai_generated_content,project_id,4,uuid,YES,null
column,ai_generated_content,user_id,5,uuid,YES,null
column,ai_generated_content,content_type,6,text,NO,null
column,ai_generated_content,source_record_id,7,uuid,YES,null
column,ai_generated_content,prompt_version,8,text,YES,null
column,ai_generated_content,ai_draft,9,text,NO,null
column,ai_generated_content,final_content,10,text,YES,null
column,ai_generated_content,was_edited,11,boolean,YES,null
column,ai_generated_content,was_used,12,boolean,YES,null
column,ai_generated_content,conversation_id,13,uuid,YES,null
column,ai_generated_content,created_at,14,timestamp with time zone,NO,now()
column,ai_insights,id,1,uuid,NO,gen_random_uuid()
column,ai_insights,tenant_id,2,uuid,NO,null
column,ai_insights,job_id,3,uuid,YES,null
column,ai_insights,project_id,4,uuid,YES,null
column,ai_insights,type,5,insight_type,NO,null
column,ai_insights,severity,6,insight_severity,NO,'info'::insight_severity
column,ai_insights,title,7,text,NO,null
column,ai_insights,body,8,text,NO,null
column,ai_insights,data,9,jsonb,NO,'{}'::jsonb
column,ai_insights,suggested_action,10,text,YES,null
column,ai_insights,acknowledged_at,11,timestamp with time zone,YES,null
column,ai_insights,acknowledged_by,12,uuid,YES,null
column,ai_insights,resolved_at,13,timestamp with time zone,YES,null
column,ai_insights,expires_at,14,timestamp with time zone,YES,null
column,ai_insights,created_at,15,timestamp with time zone,NO,now()
column,ai_job_runs,id,1,uuid,NO,gen_random_uuid()
column,ai_job_runs,tenant_id,2,uuid,NO,null
column,ai_job_runs,job_name,3,text,NO,null
column,ai_job_runs,status,4,text,NO,null
column,ai_job_runs,projects_scanned,5,integer,YES,null
column,ai_job_runs,insights_generated,6,integer,YES,null
column,ai_job_runs,error_message,7,text,YES,null
column,ai_job_runs,started_at,8,timestamp with time zone,NO,now()
column,ai_job_runs,completed_at,9,timestamp with time zone,YES,null
column,audit_log,id,1,bigint,NO,nextval('audit_log_id_seq'::regclass)
column,audit_log,tenant_id,2,uuid,YES,null
column,audit_log,user_id,3,uuid,YES,null
column,audit_log,table_name,4,text,NO,null
column,audit_log,record_id,5,uuid,NO,null
column,audit_log,action,6,text,NO,null
column,audit_log,old_values,7,jsonb,YES,null
column,audit_log,new_values,8,jsonb,YES,null
column,audit_log,ip_address,9,inet,YES,null
column,audit_log,created_at,10,timestamp with time zone,NO,now()
column,budget_line_items,id,1,uuid,NO,gen_random_uuid()
column,budget_line_items,budget_id,2,uuid,NO,null
column,budget_line_items,estimate_line_item_id,3,uuid,YES,null
column,budget_line_items,tenant_id,4,uuid,NO,null
column,budget_line_items,job_id,5,uuid,NO,null
column,budget_line_items,account_id,6,uuid,YES,null
column,budget_line_items,description,7,text,NO,null
column,budget_line_items,csi_division,8,text,YES,null
column,budget_line_items,trade,9,text,YES,null
column,budget_line_items,budgeted_cents,10,bigint,NO,0
column,budget_line_items,committed_cents,11,bigint,NO,0
column,budget_line_items,actual_cost_cents,12,bigint,NO,0
column,budget_line_items,billed_to_client_cents,13,bigint,NO,0
column,budget_line_items,sequence,14,integer,NO,0
column,budget_line_items,created_at,15,timestamp with time zone,NO,now()
column,budget_line_items,updated_at,16,timestamp with time zone,NO,now()
column,budgets,id,1,uuid,NO,gen_random_uuid()
column,budgets,tenant_id,2,uuid,NO,null
column,budgets,job_id,3,uuid,NO,null
column,budgets,estimate_id,4,uuid,YES,null
column,budgets,name,5,text,NO,null
column,budgets,status,6,budget_status,NO,'active'::budget_status
column,budgets,total_budgeted_cents,7,bigint,NO,0
column,budgets,total_committed_cents,8,bigint,NO,0
column,budgets,total_actual_cents,9,bigint,NO,0
column,budgets,notes,10,text,YES,null
column,budgets,created_by,11,uuid,YES,null
column,budgets,created_at,12,timestamp with time zone,NO,now()
column,budgets,updated_at,13,timestamp with time zone,NO,now()
column,change_order_line_items,id,1,uuid,NO,gen_random_uuid()
column,change_order_line_items,job_change_order_id,2,uuid,NO,null
column,change_order_line_items,budget_line_item_id,3,uuid,YES,null
column,change_order_line_items,tenant_id,4,uuid,NO,null
column,change_order_line_items,account_id,5,uuid,YES,null
column,change_order_line_items,description,6,text,NO,null
column,change_order_line_items,quantity,7,numeric,NO,1
column,change_order_line_items,unit,8,text,NO,'ls'::text
column,change_order_line_items,unit_cost_cents,9,bigint,NO,0
column,change_order_line_items,markup_pct,10,numeric,NO,0
column,change_order_line_items,total_cents,11,bigint,NO,0
column,change_order_line_items,csi_division,12,text,YES,null
column,change_order_line_items,sequence,13,integer,NO,0
column,change_order_line_items,created_at,14,timestamp with time zone,NO,now()
column,client_selections,id,1,uuid,NO,gen_random_uuid()
column,client_selections,category_id,2,uuid,NO,null
column,client_selections,option_id,3,uuid,YES,null
column,client_selections,tenant_id,4,uuid,NO,null
column,client_selections,project_id,5,uuid,NO,null
column,client_selections,customer_id,6,uuid,NO,null
column,client_selections,custom_description,7,text,YES,null
column,client_selections,custom_sku,8,text,YES,null
column,client_selections,custom_vendor,9,text,YES,null
column,client_selections,custom_price_cents,10,bigint,YES,null
column,client_selections,overage_cents,11,bigint,YES,null
column,client_selections,job_change_order_id,12,uuid,YES,null
column,client_selections,notes,13,text,YES,null
column,client_selections,selected_at,14,timestamp with time zone,YES,null
column,client_selections,approved_at,15,timestamp with time zone,YES,null
column,client_selections,approved_by,16,uuid,YES,null
column,client_selections,created_at,17,timestamp with time zone,NO,now()
column,customers,id,1,uuid,NO,gen_random_uuid()
column,customers,tenant_id,2,uuid,NO,null
column,customers,customer_name,3,text,NO,null
column,customers,company,4,text,NO,''::text
column,customers,email,5,text,NO,''::text
column,customers,phone,6,text,NO,''::text
column,customers,billing_address,7,text,NO,''::text
column,customers,property_address,8,text,NO,''::text
column,customers,notes,9,text,NO,''::text
column,customers,is_active,10,boolean,NO,true
column,customers,created_date,11,date,YES,null
column,customers,created_at,12,timestamp with time zone,NO,now()
column,customers,updated_at,13,timestamp with time zone,NO,now()
column,customers,portal_user_id,14,uuid,YES,null
column,customers,stripe_customer_id,15,text,YES,null
column,daily_log_photos,id,1,uuid,NO,gen_random_uuid()
column,daily_log_photos,daily_log_id,2,uuid,NO,null
column,daily_log_photos,document_id,3,uuid,NO,null
column,daily_log_photos,caption,4,text,YES,null
column,daily_log_photos,ai_caption,5,text,YES,null
column,daily_log_photos,sequence,6,integer,NO,0
column,daily_log_photos,is_client_visible,7,boolean,NO,true
column,daily_log_photos,created_at,8,timestamp with time zone,NO,now()
column,daily_logs,id,1,uuid,NO,gen_random_uuid()
column,daily_logs,tenant_id,2,uuid,NO,null
column,daily_logs,project_id,3,uuid,NO,null
column,daily_logs,date,4,date,NO,null
column,daily_logs,author_id,5,uuid,NO,null
column,daily_logs,weather,6,text,YES,null
column,daily_logs,temperature_f,7,integer,YES,null
column,daily_logs,crew_count,8,integer,YES,null
column,daily_logs,hours_worked,9,numeric,YES,null
column,daily_logs,work_performed,10,text,NO,null
column,daily_logs,materials_delivered,11,text,YES,null
column,daily_logs,equipment_used,12,text,YES,null
column,daily_logs,issues_or_delays,13,text,YES,null
column,daily_logs,visitors,14,text,YES,null
column,daily_logs,safety_incidents,15,text,YES,null
column,daily_logs,ai_client_summary,16,text,YES,null
column,daily_logs,ai_drafted_at,17,timestamp with time zone,YES,null
column,daily_logs,is_client_visible,18,boolean,NO,false
